,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,WEBSITE,Private
180,Ardmore School,Ardmore School,16616 NE 32nd St,98008,-122.11793023,47.63948917,BELLEVUE,http://www.bsd405.org/Default.aspx?tabid=80,No
181,Alki School,Alki School,3010 59th Ave SW,98116,-122.407829,47.57714,SEATTLE,http://www.seattleschools.org/area/main/ShowSchool?HighSel=021&MiddleSel=heading&ElementarySel=202&AlternativeSel=960&ElementaryBtn.x=19&ElementaryBtn.y=8,No
182,Crestview Site,Crestview Site,16200 42ND Ave S,98188,-122.27921116,47.4584622,HIGHLINE,none,No
183,Olympic Jr High School,Olympic Jr High School,1825 K St SE,98002,-122.21780938,47.29220019,AUBURN,http://www.auburn.wednet.edu/homepages/olympic/default.htm,No
184,Assumption School,Assumption School,6220 32nd Ave NE,98115,-122.29284049,47.67490974,SEATTLE,http://www.asbschool.org/,No
185,Inglewood Jr High School,Inglewood Jr High School,24120 NE 8th St,98074,-122.01726433,47.61866686,LAKE WASHINGTON,http://schools.lwsd.org/ijh/,No
186,Tahoma High School,Tahoma High School,18200 SE 240th St,98042,-122.09893436,47.38889214,TAHOMA,http://tshs.tahomasd.us/,No
187,Enumclaw Transportation,Enumclaw Transportation,450 Semanski St S,98022,-122.00613159,47.18858654,ENUMCLAW,http://www.enumclaw.wednet.edu/schools/middleschool/default.aspx,No
188,Bennett School,Bennett School,17900 NE 16th St,98008,-122.1019746,47.62473964,BELLEVUE,http://www.bennettelementary.org/,No
189,Bush School,Bush School,3400 E Harrison St,98112,-122.28879455,47.6229054,SEATTLE,http://www.bush.edu/home/,No
190,George T Daniel School,Daniel School,11310 SE 248th St,98030,-122.18989287,47.38007968,KENT,http://www.kent.k12.wa.us/ksd/DE/,No
191,Skykomish K-12 School,Skykomish K-12,105 6th St N,98288,-121.36241764,47.70933877,SKYKOMISH,http://www.localschooldirectory.com/public-school/91675/WA,No
192,Juanita School,Juanita School,9635 NE 132nd St,98034,-122.21112065,47.71820063,LAKE WASHINGTON,http://schools.lwsd.org/juanita/,No
193,Seattle Lutheran High School,Seattle Lutheran High School,4141 41st Ave SW,98116,-122.38454921,47.56503572,SEATTLE,http://www.seattlelutheran.org/html/frontpage.php,No
194,Robinswood School,Robinswood School,148th Ave SE & SE 22nd St,98007,-122.14114417,47.59208325,BELLEVUE,http://www.bsd405.org/Default.aspx?tabid=129,No
195,Kent View Christian High School,Kent View Christian High School,19830 SE 328th Pl,98092,-122.07412095,47.30851032,KENT,http://www.privateschoolreview.com/school_ov/school_id/28918,No
196,Administration-Maple Valley,Admin,25720 Maple Valley-Black Diamond Hwy SE,98038,-122.02219652,47.37106307,TAHOMA,http://www.tahoma.wednet.edu/,No
197,Mercer Island High School,Mercer Island High School,9100 SE 42nd St,98040,-122.21723352,47.57161438,MERCER ISLAND,http://www.misd.k12.wa.us/schools/hs/,No
198,Sunny Hills School,Sunny Hills School,3200 Issaquah-Pine Lake Rd,98075,-122.02879958,47.5803343,ISSAQUAH,http://www.sunny.issaquah.wednet.edu/,No
199,Green Lake School,Green Lake School,2400 N 65th St,98103,-122.32891096,47.67635306,SEATTLE,http://www.greenlakeschool.org/,No
200,Stillwater School,Stillwater School,11530 320th Ave NE,98014,-121.9096192,47.70055152,RIVERVIEW,http://www.sw.riverview.wednet.edu/,No
201,McClure Middle School,McClure Middle School,1915 1st Ave W,98119,-122.35895679,47.63682449,SEATTLE,http://www.seattleschools.org/schools/mcclure/,No
202,Olympic Hills School,Olympic Hills School,13018 20th Ave NE,98125,-122.3068588,47.72405446,SEATTLE,http://www.seattleschools.org/area/main/ShowSchool?HighSel=heading&MiddleSel=heading&K8Sel=heading&ElementarySel=261&AlternativeSel=heading&ElementaryBtn.x=9&ElementaryBtn.y=4,No
203,Shorewood High School,Shorewood High School,17300 Fremont Ave N,98133,-122.35019906,47.75469695,SHORELINE,http://schools.shorelineschools.org/Shorewood/,No
204,Mount Rainier High School,Mount Rainier High School,22450 19th Ave S,98198,-122.30785415,47.39905527,HIGHLINE,http://www.hsd401.org/ourschools/highschools/mtrainier/,No
205,Cascade Jr High School,Cascade Jr High School,1015 24th St NE,98002,-122.21506896,47.32927124,AUBURN,http://www.auburn.wednet.edu/homepages/cascade/default.htm,No
206,Broadview Thompson School,Broadview Thompson School,13052 Greenwood Ave N,98133,-122.3528726,47.72459065,SEATTLE,http://www.seattleschools.org/schools/broadview/,No
207,Lincoln School Facility,Lincoln School Facility,4400 INTERLAKE AVE N,98103,-122.33989903,47.6599177,SEATTLE,none,No
208,Mirror Lake School,Mirror Lake School,625 S 314th St,98003,-122.32489585,47.31959689,FEDERAL WAY,http://schools.fwps.org/mirrorlake/,No
209,Perkins School,Perkins School,9005 Roosevelt Way NE,98155,-122.31801799,47.69426943,SEATTLE,http://www.perkinsschool.com/,No
210,Maple Valley High School,Maple Valley High School,23015 SE 216th Way,98038,-122.03372755,47.40732549,TAHOMA,http://www.tahoma.wednet.edu/SubSite/MVHS/index.htm,No
211,Whitman Middle School,Whitman Middle School,9201 15th Ave NW,98117,-122.37760326,47.69674975,SEATTLE,http://www.seattleschools.org/schools/whitman/,No
212,Thomas Academy School,Thomas Academy School,8207 S 280th St,98032,-122.22970806,47.35029289,KENT,http://schools.privateschoolsreport.com/Washington/Auburn/ThomasAcademy.html,No
213,Wildwood School,Wildwood School,2405 S 300th St,98003,-122.30149048,47.33256812,FEDERAL WAY,http://schools.fwps.org/wildwood/,No
214,Bryn Mawr School,Bryn Mawr School,8212 S 118th St,98178,-122.22931804,47.49803437,RENTON,http://www.renton.wednet.edu/brynmawr/default.html,No
215,Graham Hill School,Graham Hill School,5149 S Graham St,98118,-122.2685362,47.54575536,SEATTLE,http://www.grahamhillelementary.org/,No
216,Christian Faith High School,Christian Faith High School,33645 20th Ave S,98003,-122.3087308,47.29885637,FEDERAL WAY,http://www.christianfaithschool.com/,No
217,Genesee Hill School,Genesee Hill School,5012 SW Genesee St,98116,-122.3968904,47.5654908,SEATTLE, ,No
218,Maywood Hills School,Maywood Hills School,19510 104th Ave NE,98011,-122.19771041,47.76965392,NORTHSHORE,http://schoolcenter.nsd.org/education/school/school.php?sectionid=25,No
219,Eastside Christian School,Eastside Christian School,14615 SE 22nd St,98007,-122.14486105,47.59045062,BELLEVUE,http://www.eastsidechristian.net/,No
220,Kings High School,Kings High School,19303 Fremont Ave N,98133,-122.35422356,47.76938582,SHORELINE,http://www.kingsschools.org//Page.aspx?&pid=2351,No
221,T T Minor School,T. T.  MINOR,1700 E Union St,98122,-122.30928807,47.61337155,SEATTLE,none,No
222,Lake Grove School,Lake Grove School,303 SW 308th St,98023,-122.33853419,47.32553634,FEDERAL WAY,http://schools.fwps.org/lakegrove/,No
223,John Muir School-Seattle,John Muir School in Seattle,3301 S Horton St,98144,-122.29058171,47.57323944,SEATTLE,http://www.seattleschools.org/schools/muir/,No
224,Stevenson School,Stevenson School,14220 NE 8th St,98007,-122.15005448,47.61797171,BELLEVUE,http://www.bsd405.org/default.aspx?tabid=136,No
225,Madrona School,Madrona School,1121 33rd Ave,98122,-122.29087056,47.61223487,SEATTLE,http://www.seattleschools.org/schools/madrona/,No
226,Crest Learning Center High School,Crest Learning Center,4150 86th Ave SE,98040,-122.22311951,47.57159731,MERCER ISLAND,http://www.misd.k12.wa.us/schools/clc/,No
227,Meany Middle School,Meany Middle School,301 21st Ave E,98112,-122.30524632,47.62160128,SEATTLE,http://www.seattleschools.org/schools/meany/,No
228,Our Lady of the Lake School,Our Lady of the Lake School,3520 NE 89th St,98115,-122.28932198,47.69358017,SEATTLE,http://www.ollseattle.org/,No
229,Challanger School,Challanger School,25200 SE Klahanie blvd,98029,-122.00397741,47.57738943,ISSAQUAH,http://www.challenger.issaquah.wednet.edu/,No
230,Rock Creek School,Rock Creek,25700 Maple Valley-Black Diamond Rd,98038,-122.02140842,47.37189284,TAHOMA,http://www.tahoma.wednet.edu/SubSite/RCES/index.htm,No
231,Beaver Lake Middle School,Beaver Lake Middle School,25025 SE 32nd St,98029,-122.00569348,47.57990086,ISSAQUAH,http://www.blms.issaquah.wednet.edu/,No
232,Auburn Mountainview High School,Auburn Mountainview High School,28900 124th Ave SE,98092,-122.17292652,47.34229543,AUBURN,http://www.auburn.wednet.edu/amhs/,No
233,Meridian Park School,Meridian Park,17077 Meridian Ave N,98133,-122.33605156,47.75501688,SHORELINE,http://schools.shorelineschools.org/meridian_park/,No
234,Cherry Valley School,Cherry Valley School,26701 NE Cherry Valley Rd,98019,-121.982124,47.74719248,RIVERVIEW,http://www.cv.riverview.wednet.edu/,No
235,Sunrise School-Osceola St,Sunrise,899 osceola St,98022,-122.01475629,47.185531,ENUMCLAW,http://www.enumclaw.wednet.edu/Schools/Sunrise/index.htm,No
236,McKnight Middle School,McKnight,1200 Edmonds Ave NE,98056,-122.18372874,47.50572127,RENTON,http://www.renton.wednet.edu/schools/mms.htm,No
237,Stanford School,Stanford School,19315 NE 95th St,98053,-122.08183703,47.68472142, ,none,No
238,Soreson Early Childhood Center,Soreson Early Childhood Center,19705 88th Ave NE,98011,-122.22442356,47.77078649,NORTHSHORE,http://www.nsd.org/education/school/school.php?sectionid=31,No
239,Robinswood Middle School,Robinswood,14844 SE 22nd St,98007,-122.14114417,47.59208325,BELLEVUE,http://www.bsd405.org/Default.aspx?tabid=130,No
240,Lutheran Bible Institute,Luthern Bible Institute,4221 228th Ave SE,98029,-122.03829335,47.57132157,ISSAQUAH,http://www.tlc.edu/,No
241,Sea-Tac Occupational Skills Center,Sea-Tac Occupational Skills,18010 8th Ave S,98148,-122.32293182,47.44107115,HIGHLINE,http://www.hsd401.org/ourschools/highschools/skillscenter/,No
242,City University-Renton,City University Renton,555 S Renton Village Pl,98057,-122.21139321,47.46906641,RENTON,http://www.cityu.edu/locations/renton.htm,No
243,Chautauqua School,Chatauqua,9309 Cemetary Rd SW,98070,-122.45225557,47.42759946,VASHON,http://www.vashonsd.wednet.edu/chautauqua/,No
244,Big Picture School,Big Picture,2450 S 142nd St,98168,-122.3005284,47.47695521,HIGHLINE,http://www.google.com/search?hl=en&source=hp&q=big+school+seattle+washington&btnG=Google+Search&rlz=1R2GPEA_en&aq=f&aql=&aqi=&oq=,No
245,Redmond High School,Redmond High School,17272 NE 104th St,98052,-122.10641719,47.69491925,LAKE WASHINGTON,http://schools.lwsd.org/rhs/,No
246,Enumclaw Adventist,Enumclaw Adventist,3333 Griffin Ave,98022,-122.01278744,47.20774857,ENUMCLAW,http://www.privateschoolreview.com/school_ov/school_id/28826,No
247,Environmental and Adventure School,Environmental and Adventure,8040 NE 132nd St,98034,-122.23207438,47.72007748,LAKE WASHINGTON,http://schools.lwsd.org/eas/,No
248,Stella Schola (6th - 8th Grade) Jr High,Stella Schola,13505 NE 75th St,98052,-122.15985385,47.67064135,LAKE WASHINGTON,http://schools.lwsd.org/ss/,No
249,Gildo Rey School,Gildo Rey School,1005 37th St SE,98002,-122.21543248,47.27799413,AUBURN,http://www.auburn.wednet.edu/homepages/gildorey/default.htm,No
250,Glenridge School,Glenridge,19405 120th Ave SE,98058,-122.18279873,47.42831613,KENT,http://www.kent.k12.wa.us/schools/schoolinformation.aspx?schoolid=GR,No
251,Pioneer School,Pioneer School,2301 M St SE,98002,-122.21426956,47.28835562,AUBURN,http://www.auburn.wednet.edu/homepages/pioneer/default.htm,No
252,Hillcrest Special Services Center,Hillcrest Special Services Center,1800 Index Ave NE,98056,-122.18125382,47.50801907,RENTON,http://hillcrest.rentonschools.us/,No
253,Warehouse,Warehouse,9612 NE 185th St,98011,-122.21047947,47.76234419,NORTHSHORE,http://www.nsd.org/education/components/scrapbook/default.php?sectionid=1,No
254,Transportation-NE 165th St,Transportation,1216 NE 165th St,98155,-122.31462165,47.74904272,SHORELINE,http://www.shorelineschools.org/about_us/contacts/addresses.php,No
255,Blanchet High School,Blanchet High School,8200 Wallingford  Ave N,98103,-122.33547154,47.68971338,SEATTLE,http://www.blanchet.k12.wa.us/,No
256,Alternative School 1,Alternative 1,11530 12th Ave NE,98125,-122.31461688,47.71345338,SEATTLE,http://washington.schooltree.org/public/As-1-Pinehurst-K-8-093311.html,No
257,Ryther Child Center K-8,Ryther Child Center K-8,2400 NE 95th St,98115,-122.30274398,47.69802742,SEATTLE,http://www.ryther.org/,No
258,Holy Innocents of the Northwest,Holy Innocents of the Northwest,2530 S 298th St,98003,-122.30000591,47.33571591,FEDERAL WAY,http://www.holyinnocentsnw.net/,No
259,North Bend School,North Bend School,400 E 3RD ST,98045,-121.7792698,47.49404171,SNOQUALMIE VALLEY,http://www.nbeschool.com/,No
260,Northwest University,Northwest University,5520 108th Ave NE,98033,-122.1957856,47.657498,LAKE WASHINGTON,http://www.northwestu.edu/,No
261,Tukwila School,Tukwila,5939 S 149th St,98168,-122.25913498,47.46891111,TUKWILA,http://www.tukwila.wednet.edu/index.php?option=com_content&task=view&id=33&Itemid=99,No
262,Carl Sandberg School,Carl Sandberg School,12801 84th Ave NE,98034,-122.23044476,47.71592313,LAKE WASHINGTON,http://www.localschooldirectory.com/public-school/90857/WA,No
263,Echo Lake School,Echo Lake School,19345 Wallingford Ave N,98133,-122.33914908,47.77006459,SHORELINE,http://schools.shorelineschools.org/echo_lake/,No
264,Cedar Park Christian School,Cedar Park Christian School,16300 112th Ave NE,98011,-122.19031992,47.74661547,NORTHSHORE,http://www.cedarpark.org/,No
265,Internet Academy,Internet Academy,31455 28th Ave S,98003,-122.33356086,47.31436965,FEDERAL WAY,http://www.iacademy.org/,No
266,Administration/Transportation,Admin,8000 Silva Ave SE,98065,-121.82875381,47.52830789,SNOQUALMIE VALLEY,http://www.svsd410.org/departments/transportation/index.asp,No
267,Explorer Community School,Explorer Community,7040 208th Ave NE,98053,-122.05992618,47.66999303,LAKE WASHINGTON,http://schools.lwsd.org/explorer/,No
268,TOPS (The Option Program at Seward),TOPS,2500 Franklin Ave E,98102,-122.32418007,47.64228503,SEATTLE,http://www.topsk8.org/,No
269,Transportation Center,Transportation Center,805 2nd Ave SE,98027,-122.03066565,47.52146123,ISSAQUAH,http://www.issaquah.wednet.edu/operations/Transportation.asp,No
270,Faith Lutheran,Faith Lutheran,9041 166st Ave NE,98052,-122.12042492,47.68250973,LAKE WASHINGTON,http://www.faithluth.org/,No
271,American Indian Heritage Middle College at Wilson Pacific,American Indian Heritage Middle College,1330 N. 90th Seattle,98103,-122.3326188,47.69938682,SEATTLE,http://indian-heritage.middlecollegehs.seattleschools.org/,No
272,Highline School Facility Services,Facility Services,17810 8th Ave S,98148,-122.32351659,47.44336357,HIGHLINE,http://www.hsd401.org/,No
273,Enterprise School,Enterprise,35101 5th Ave SW,98023,-122.34108883,47.2872428,FEDERAL WAY,http://schools.fwps.org/enterprise/,No
274,Secondary Bilingual Orientation Center,Secondary Bilingual Orientation Center,411 Boston St,98109,-122.34897075,47.63796193,SEATTLE,http://www.seattleschools.org/schools/secboc/index.htm,No
275,Administration-NE74th St,Admin,16250 NE 74th St,98052,-122.12349209,47.67099133,LAKE WASHINGTON,http://www.lkwash.wednet.edu/lwsd/html/schools/district.asp,No
276,Meredith Hill School,Meredith Hill,5830 S 300th St,98001,-122.26136287,47.33384272,FEDERAL WAY,http://schools.fwps.org/meredith/,No
277,Bellevue District Site,Bellevue District Site,14200 SE 13th Pl,98007,-122.15183215,47.5995953,BELLEVUE,http://www.bsd405.org/Default.aspx?portalID=0,No
278,Echo Glen Childrens Center,Echo Glen Children's Center,33010 SE 99th St,98065,-121.90142039,47.5180038,ISSAQUAH,http://www.issaquah.wednet.edu/schools/School.aspx?loc=echo&dord=197,No
279,Highline Performing Arts Center,Highline Arts,401 S 152nd St,98148,-122.328622,47.46653441,HIGHLINE,http://www.hsd401.org/pac/,No
280,Bright Water School Waldorf,Bright Water,1501 10th Ave E,98102,-122.32057933,47.63274749,SEATTLE,http://privateschool.about.com/gi/o.htm?zi=1/XJ&zTi=1&sdn=privateschool&cdn=education&tm=538&gps=68_587_1001_693&f=00&su=p897.6.336.ip_&tt=29&bt=0&bts=0&zu=http%3A//www.brightwaterschool.org/,No
281,Kinderhaus Campus Waldorf kindergarten,Waldorf Kindergarten,4912 Woodlawn Ave N,98103,-122.33978472,47.66481943,SEATTLE,http://privateschool.about.com/gi/o.htm?zi=1/XJ&zTi=1&sdn=privateschool&cdn=education&tm=58&gps=122_766_1001_685&f=00&su=p897.6.336.ip_&tt=29&bt=0&bts=0&zu=http%3A//www.seattlewaldorf.org/,No
282,Hope Lutheran High School,Hope Lutheran,4456 42nd Ave SW,98116,-122.38506965,47.5634175,SEATTLE,http://www.hopeseattle.org/index.php,No
283,Yeshiva Seattle Hebrew Academy,Yeshiva Hebrew,1617 Interlaken Dr E,98112,-122.30792796,47.63442056,SEATTLE,http://www.seattlehebrewacademy.org/our_school.php,No
284,Green River CC Enumclaw Campus,Green R CC - Enumclaw,1414 Griffin Ave,98022,-121.99215127,47.20436412,ENUMCLAW,http://www.greenriver.edu/enumclaw/,No
285,Grand Ridge Elementary School,Grand Ridge,1739 NE Park Dr,98029,-122.00445694,47.54706787,ISSAQUAH,http://www.issaquah.wednet.edu/schools/School.aspx?loc=grandridge&dord=204,No
286,Seattle University Eastside Education Center,Seattle University Eastside Edu Center,1450 114TH AVE SE,98004,-122.18781666,47.59768291, , ,No
287,St Luke School,St Luke School,17533 St Luke Pl N,98133,-122.35365236,47.75672449,SHORELINE,http://www.stlukeshoreline.org/,No
288,Dunlap School,Dunlap School,4525 S Cloverdale St,98118,-122.27465772,47.52498725,SEATTLE,http://www.seattleschools.org/area/main/ShowSchool?HighSel=heading&MiddleSel=heading&K8Sel=heading&ElementarySel=219&AlternativeSel=heading&ElementaryBtn.x=13&ElementaryBtn.y=5,No
289,Camelot School,Camelot School,4041 S 298th St,98001,-122.28481991,47.33421578,FEDERAL WAY,http://schools.fwps.org/cam/,No
290,Bear Creek School,Bear Creek School,18101 Avondale Rd,98077,-122.08032966,47.75900331,NORTHSHORE,http://schoolcenter.nsd.org/education/school/school.php?sectionid=8,No
291,St Johns School,St Johns School,120 N 79th St,98103,-122.35697497,47.68640899,SEATTLE,http://www.st-johnschool.org/,No
292,Emerson High School,Emerson High School,10903 NE 53rd St,98033,-122.19555563,47.6552941,LAKE WASHINGTON,http://www.lwsd.org/school/emhs/Pages/default.aspx,No
293,School District Facility,School District Facility,5950 Delridge Way SW,98106,-122.36214089,47.54861952,SEATTLE,http://www.cleveland.seattleschools.org/default.aspx,No
294,Madison Middle School,Madison Middle School,3429 45th Ave SW,98116,-122.39028155,47.57297886,SEATTLE,http://www.seattleschools.org/schools/madison/,No
295,St Monica School,St Monica School,4320 87th Ave SE,98040,-122.22244664,47.56890934,MERCER ISLAND,http://www.stmonicasea.org/,No
296,Spring Valley Montessori School,Spring Valley Montessori School,36605 Pacific Hwy S,98003,-122.32903944,47.27393089,FEDERAL WAY,http://www.springvalley.org/,No
297,Cottage Lake School,Cottage Lake School,15940 Avondale Rd NE,98077,-122.07947439,47.74471873,NORTHSHORE,http://schoolcenter.nsd.org/education/school/school.php?sectionid=12,No
298,Sanislo School,Sanislo School,1812 SW Myrtle St,98106,-122.35866008,47.53960657,SEATTLE,http://www.seattleschools.org/schools/sanislo/index.htm,No
299,Sherwood Forest School-Federal Way,Sherwood Forest School in Federal Way,34600 12th Ave SW,98023,-122.34985015,47.29200648,FEDERAL WAY,http://schools.fwps.org/shf/home.htm,No
300,Evergreen Heights School,Evergreen Heights School,5602 S 316th St,98001,-122.26408791,47.31943036,AUBURN,http://www.auburn.wednet.edu/homepages/eheights/default.htm,No
301,Cascadia Community College,Cascadia CC,18225 Campus Way NE,98011,-122.19144484,47.75977191,NORTHSHORE,http://www.cascadia.edu/Default.aspx,No
302,Sylvester Middle School,Sylvester Middle School,16222 Sylvester Rd SW,98166,-122.33987214,47.45705754,HIGHLINE,http://www.hsd401.org/ourschools/middleschools/sylvester/,No
303,St Matthews School,St Matthews School,1230 NE 127th St,98125,-122.31381962,47.72171973,SEATTLE,http://www.stmattschool.org/,No
304,Shorecrest High School,Shorecrest High School,15343 25th Ave NE,98155,-122.30327188,47.74106735,SHORELINE,http://schools.shorelineschools.org/shorecrest/,No
305,Zion Christian Jr High,Zion Christian Jr High School,620 20th Ave S,98144,-122.30601828,47.59695303,SEATTLE,http://local.botw.org/Washington/Seattle/Zion_Christian_School/111761289.html,No
306,Lake Wilderness School,Lake Wilderness School,24216 Witte Rd SE,98038,-122.04704688,47.38386824,TAHOMA,http://www.tahoma.wednet.edu/SubSite/lwes/index.html,No
307,St Christopher Academy High School,St Christopher Academy High School,318 S 3rd Ave,98032,-122.2355775,47.37902268,KENT,none,No
308,Neighborhood Christian School,Neighborhood Christian School,625 140th Ave NE,98005,-122.15415207,47.6161669,BELLEVUE,http://www.bnc.org/,No
309,Robert Frost School,Robert Frost School,11801 NE 140th St,98034,-122.18364446,47.72509433,LAKE WASHINGTON,http://www.lwsd.org/school/frost/Pages/default.aspx,No
310,Cedar River School,Cedar River School,22615 Sweeney Rd SE,98038,-122.05155235,47.39827736,TAHOMA,http://www.tahoma.wednet.edu/SubSite/CRMS/index.html,No
311,Charles A Lindbergh High School,Lindbergh High School,16426 128th Ave SE,98058,-122.16616345,47.45480133,RENTON,http://lindbergh.rentonschools.us/Home.aspx,No
312,Eastlake High School,Eastlake High School,400 228 Ave NE,98074,-122.03080428,47.61339818,LAKE WASHINGTON,http://schools.lwsd.org/ehs/,No
313,Ridgewood School,Ridgewood School,18030 162nd Pl SE,98058,-122.12218862,47.4404252,KENT,http://www.kent.k12.wa.us/ksd/RW/,No
314,Shadow Lake School,Shadow Lake School,22620 Sweeney Rd SE,98038,-122.04713522,47.39889867,TAHOMA,http://www.tahoma.wednet.edu/ourschools/elemschools/shadowlake.html,No
315,Olympic View School in Federal Way,Olympic View School in Federal Way,2626 SW 327th St,98023,-122.36686297,47.30936086,FEDERAL WAY,http://schools.fwps.org/ov/,No
316,Sunrise School in Kent,Sunrise School in Kent,22300 132nd Ave SE,98042,-122.16428038,47.4027897,KENT,http://www.kent.k12.wa.us/ksd/SR/,No
317,Mattson Jr High School,Mattson Jr High School,16400 SE 251st St,98042,-122.1202435,47.37827773,KENT,http://www.kent.k12.wa.us/ksd/MA/,No
318,St Christopher Academy School,St Christopher Academy School,318 3rd Ave S,98032,-122.23585785,47.37907007,KENT,none,No
319,Juanita High School,Juanita High School,10601 NE 132nd St,98034,-122.19862599,47.71549385,LAKE WASHINGTON,http://schools.lwsd.org/jhs/,No
320,Cascade Middle School-10 Ave SW,Cascade Middle School,11212 10th Ave SW,98146,-122.34644754,47.50228608,HIGHLINE,http://schools.publicschoolsreport.com/Washington/Seattle/CascadeMiddleSchool.html,No
321,Kilo Jr High School,Kilo Jr High School,4400 S 308th St,98001,-122.27812623,47.32681037,FEDERAL WAY,http://schools.fwps.org/kilo/,No
322,Kent School,Kent School,317 S 4th Ave,98032,-122.25194398,47.38032319,KENT,http://www.kent.k12.wa.us/ksd/KE/,No
323,Jenkins Creek School,Jenkins Creek School,26915 186th Ave SE,98042,-122.09447827,47.36037017,KENT,http://www.kent.k12.wa.us/ksd/JC/,No
324,Epiphany School,Epiphany School,3710 E Howell St,98122,-122.28614324,47.61789938,SEATTLE,http://www.epiphanyschool.org/,No
325,Inglemoor High School,Inglemoor High School,15400 Simonds Rd NE,98028,-122.22279006,47.7406401,NORTHSHORE,http://schoolcenter.nsd.org/education/components/scrapbook/default.php?sectionid=19,No
326,John Muir School-Kingsgate,John Muir School in Kingsgate,14012 132nd Ave NE,98034,-122.16337994,47.72686395,LAKE WASHINGTON,http://schools.lwsd.org/muir/,No
327,Lake Youngs School,Lake Youngs School,19660 142nd Ave SE,98058,-122.15193507,47.42583907,KENT,http://www.kent.k12.wa.us/ksd/LY/,No
328,St Paul School,St Paul School,10001 57th Ave S,98178,-122.26276775,47.5104183,SEATTLE,http://www.stpaulparish.com/,No
329,Bear Creek Christian School South,Bear Creek Christian School South,8905 208th Ave NE,98053,-122.06552202,47.68126176,LAKE WASHINGTON,http://www.privateschoolreview.com/school_ov/school_id/29165,No
330,Our Lady of Guadalupe School,Our Lady of Guadalupe School,3401 SW Myrtle St,98126,-122.37563884,47.53887125,SEATTLE,http://www.guadalupe-school.org/,No
331,Kentwood High School,Kentwood High School,25800 164th Ave SE,98042,-122.11931133,47.37002209,KENT,http://www.kent.k12.wa.us/ksd/KW/,No
332,University of Washington-Bothell,UW Bothell,18115 Campus Way NE,98011,-122.19286145,47.76150454,NORTHSHORE,http://www.bothell.washington.edu/,No
333,Aki Kurose Middle School,Aki Kurose Middle School,3928 S Graham St,98118,-122.28198235,47.54631993,SEATTLE,http://www.seattleschools.org/schools/akikurose/,No
334,Kellogg Middle School,Kellogg Middle School,16045 25th Ave NE,98155,-122.30302121,47.74572204,SHORELINE,http://schools.shorelineschools.org/kellogg/,No
335,Woodmoor School,Woodmoor School,12225 NE 160th St,98011,-122.17603384,47.74195116,NORTHSHORE,http://schoolcenter.nsd.org/education/school/school.php?sectionid=38,No
336,Cornish College Kerry Hall,Cornish College Kerry Hall,710 E Roy St,98102,-122.32303317,47.62530706,SEATTLE,http://www.cornish.edu/admission/,No
337,African American Academy,African American Academy,8311 Beacon Ave S,98118,-122.28886941,47.5291091,SEATTLE,http://www.seattleschools.org/schools/aaa/,No
338,Auburn High School,Auburn High School,800 4th St NE,98002,-122.22026911,47.31020326,AUBURN,http://www.auburn.wednet.edu/homepages/ahs/default.htm,No
339,Bagley School,Bagley School,7821 Stone Ave N,98103,-122.34244521,47.68625687,SEATTLE,http://www.danielbagley.com/,No
340,Fairmount Park School,Fairmount Park School,3800 SW Findlay St,98136,-122.38019317,47.55257141,SEATTLE,http://washington.schooltree.org/public/Fairmount-Park-093331.html,No
341,Chinook Middle School-SeaTac,Chinook Middle School in SeaTac,18650 42nd Ave S,98188,-122.28072817,47.43513777,HIGHLINE,http://www.hsd401.org/ourschools/middleschools/chinook/,No
342,Hamilton Middle School,Hamilton Middle School,1610 N 41st St,98103,-122.33802458,47.6574533,SEATTLE,http://www.seattleschools.org/schools/hamilton/,No
343,Washington Middle School,Washington Middle School,2101 S Jackson St,98144,-122.30415151,47.59795381,SEATTLE,http://www.seattleschools.org/area/main/ShowSchool?HighSel=heading&MiddleSel=117&ElementarySel=heading&AlternativeSel=heading&MiddleBtn.x=10&MiddleBtn.y=7,No
344,Bothell High School,Bothell High School,9130 NE 180th St,98011,-122.21877312,47.76045403,NORTHSHORE,http://schoolcenter.nsd.org/education/school/school.php?sectionid=9,No
345,Brookside School,Brookside School,17447 37th Ave NE,98155,-122.28974395,47.75460627,SHORELINE,http://schools.shorelineschools.org/brookside/,No
346,McMurray Intermediate School,McMurray Intermediate School,9329 SW Cemetary Rd,98070,-122.45436306,47.42862928,VASHON,http://www.vashonsd.wednet.edu/mcmurray/index.cfm,No
347,Overlake Jr High School,Overlake Jr High School,20301 NE 108th St,98053,-122.07017651,47.69383636,LAKE WASHINGTON,http://www.overlake.org/home.aspx,No
348,Medina School,Medina School,8001 NE 8th St,98039,-122.23405377,47.6171839,BELLEVUE,http://www.bsd405.org/default.aspx?tabid=16,No
349,Riverton Heights School,Riverton Heights School,3011 S 148th St,98168,-122.29391333,47.47035667,HIGHLINE,http://www.hsd401.org/ourdistrict/news/rivertonhtsproperty.htm,No
350,Springbrook School,Springbrook School,20035 100th Ave SE,98031,-122.20843786,47.42139281,KENT,http://www.kent.k12.wa.us/ksd/SB/,No
351,St Josephs School,St Josephs School,700 18th Ave E,98112,-122.30827829,47.62547631,SEATTLE,http://www.stjosephsea.org/,No
