,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,POPULATION,COUNTY,LATITUDE,LONGITUDE,NAICS_DESC,WEBSITE,LEVEL_,ENROLLMENT,Private
89,COUNTRYSIDE MONTESSORI SCHOOL,13630 100TH AVE NE,KIRKLAND,WA,98034,(425) 823-2211,15,KING,47.72288833,-122.207702634,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106796,1,13,yes
90,SEATTLE WALDORF SCHOOL,2728 NE 100TH ST,SEATTLE,WA,98125,(206) 524-5320,390,KING,47.701117818,-122.298481228,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106849,3,355,yes
91,WESTSIDE SCHOOL,10404 34TH AVE SW,SEATTLE,WA,98146,(206) 932-2511,341,KING,47.513197279,-122.369337596,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106868,1,300,yes
92,WOODINVILLE MONTESSORI SCHOOL,19102 N CREEK PKWY STE 100,BOTHELL,WA,98011,(425) 482-3184,250,KING,47.74817508,-122.151337963,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106873,3,224,yes
93,BROOKLAKE CHRISTIAN SCHOOL,629 S 356TH ST,FEDERAL WAY,WA,98003,(253) 517-8247,69,KING,47.28194339,-122.325854675,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504357,1,63,yes
94,CREATIVE MONTESSORI SCHOOL,14944 JUANITA DR NE,KENMORE,WA,98028,(425) 488-8844,17,KING,47.736691389,-122.248384374,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504362,1,12,yes
95,ISSAQUAH MONTESSORI SCHOOL,24326 SE ISSAQUAH FALL CITY RD,ISSAQUAH,WA,98029,(425) 557-7705,23,KING,47.558498555,-122.015515693,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504385,1,9,yes
96,TLC MONTESSORI,21512 NE 16TH ST,SAMMAMISH,WA,98074,(425) 868-1943,29,KING,47.624191953,-122.052800403,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504459,1,13,yes
97,EXPLORER WEST MIDDLE SCHOOL,10015 28TH AVE SW,SEATTLE,WA,98146,(206) 935-0495,119,KING,47.513154459,-122.369315695,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9703537,1,109,yes
98,CHRISTIAN FAITH SCHOOL,33645 20TH AVE S,FEDERAL WAY,WA,98003,(253) 943-2500,293,KING,47.299229417,-122.308572544,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9703580,3,269,yes
99,CASCADE VISTA BAPTIST SCHOOL,11517 SE 208TH ST,KENT,WA,98031,(253) 854-5828,112,KING,47.415867697,-122.187884583,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9904417,3,103,yes
100,FRENCH AMERICAN SCHOOL OF PUGET SOUND,3795 E MERCER WAY,MERCER ISLAND,WA,98040,(206) 275-3533,389,KING,47.575514056,-122.206206973,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9904423,1,354,yes
101,SUNBEAMS LUTHERAN SCHOOL,23810 112TH AVE SE,KENT,WA,98031,(253) 854-3240,43,KING,47.388820193,-122.19195604,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=K9306236,1,40,yes
102,BELLEVUE CHILDREN'S ACADEMY,14600 NE 24TH ST,BELLEVUE,WA,98007,(425) 556-0791,649,KING,47.632090007,-122.145595276,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110096,1,590,yes
103,LAKE WASHINGTON GIRLS MIDDLE SCHOOL,810 18TH AVE,SEATTLE,WA,98122,(206) 709-3800,119,KING,47.609660381,-122.308588959,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110139,1,108,yes
104,BRIGHTMONT ACADEMY - REDMOND CAMPUS,7345 164TH AVE NE STE I135,REDMOND,WA,98052,(425) 373-0800,92,KING,47.577521764,-122.171358166,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0303277,3,77,yes
105,MEDINA ACADEMY,16242 NORTHUP WAY,BELLEVUE,WA,98008,(425) 643-2678,220,KING,47.675332296,-122.117930219,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0303292,1,202,yes
106,SPECTRUM ACADEMY,2576 152ND AVE NE STE B112,REDMOND,WA,98052,(425) 443-7424,21,KING,47.613624502,-122.123342076,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0303307,1,19,yes
107,AMERICAS CHILD MONTESSORI,14340 NE 21ST ST,BELLEVUE,WA,98007,(425) 641-5437,16,KING,47.629870173,-122.148642591,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0308058,1,15,yes
108,GREEN RIVER MONTESSORI,922 12TH ST NE,AUBURN,WA,98002,(253) 833-7010,32,KING,47.317058928,-122.21670278,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0308172,1,27,yes
109,KIRKLAND CHILDRENS SCHOOL,5311 108TH AVE NE,KIRKLAND,WA,98033,(425) 822-5664,16,KING,47.656060872,-122.196674362,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0508407,1,15,yes
110,PUGET SOUNDS COMMUNITY SCHOOL,660 S DEARBORN ST,SEATTLE,WA,98134,(206) 324-4350,58,KING,47.665862492,-122.313647554,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0740152,3,52,yes
111,BERTSCHI SCHOOL,2227 10TH AVE E,SEATTLE,WA,98102,(206) 324-5476,248,KING,47.639254885,-122.320387806,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106786,1,223,yes
112,FAIRVIEW CHRISTIAN SCHOOL,844 NE 78TH ST,SEATTLE,WA,98115,(206) 526-0762,54,KING,47.68563524,-122.318337819,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106802,1,48,yes
113,HAMLIN ROBINSON SCHOOL,1701 20TH AVE S,SEATTLE,WA,98144,(206) 763-1167,310,KING,47.511574487,-122.318353589,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106812,1,277,yes
114,NORTHWEST SCHOOL DEAF AND HARD-OF-HEARING CHILDREN,15303 WESTMINSTER WAY N,SHORELINE,WA,98133,(206) 364-4605,44,KING,47.739327097,-122.350483187,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106839,1,36,yes
115,SEATTLE ACADEMY,1201 E UNION ST,SEATTLE,WA,98122,(206) 676-6899,897,KING,47.612538544,-122.316332445,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106848,3,816,yes
116,UNIVERSITY CHILD DEVELOPMENT SCHOOL,5062 9TH AVE NE,SEATTLE,WA,98105,(206) 547-3619,301,KING,47.666288815,-122.318108056,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106863,1,269,yes
117,THE VALLEY SCHOOL,318 30TH AVE E,SEATTLE,WA,98033,(206) 328-4475,102,KING,47.621678602,-122.292369493,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106865,1,92,yes
118,SEATTLE URBAN ACADEMY,3800 S OTHELLO ST,SEATTLE,WA,98118,(206) 723-0333,44,KING,47.537139704,-122.28467079,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9301037,2,37,yes
119,HORIZON SCHOOL,1512 NW 195TH ST,SHORELINE,WA,98177,(206) 546-0133,11,KING,47.771043386,-122.377811117,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9304058,1,10,yes
120,THE LITTLE SCHOOL,2812 116TH AVE NE,BELLEVUE,WA,98004,(425) 827-8708,126,KING,47.636021677,-122.183780227,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9304071,1,110,yes
121,ARBOR SCHOOLS,1107 228TH AVE SE,SAMMAMISH,WA,98075,(425) 392-3866,84,KING,47.599729156,-122.036182341,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504334,1,54,yes
122,CHILDREN'S INSTITUTE FOR LEARNING DIFFERENCES,2640 BENSON RD S,RENTON,WA,98055,(425) 336-4025,51,KING,47.573727562,-122.223250785,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504346,3,45,yes
123,THE SAMMAMISH MONTESSORI SCHOOL,7655 178TH PL NE,REDMOND,WA,98052,(425) 883-3271,56,KING,47.672214998,-122.101478415,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504442,1,36,yes
124,ST NICHOLAS MONTESSORI SCHOOL,31015 MILITARY RD S,AUBURN,WA,98001,(253) 839-7864,19,KING,47.323671666,-122.289822665,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504453,1,12,yes
125,ACADEMY SCHOOLS,14601 INTERURBAN AVE S,TUKWILA,WA,98168,(206) 588-0860,61,KING,47.379655349,-122.238232214,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9703521,3,49,yes
126,ST JOSEPH SCHOOL-- ISSAQUAH AND SNOQUALMIE,220 MT PARK BLVD SW,ISSAQUAH,WA,98027,(425) 888-9130,235,KING,47.528537359,-122.045631072,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9904444,1,218,yes
127,GLENDALE LUTHERAN SCHOOL,13455 2ND AVE SW,BURIEN,WA,98146,(206) 244-6085,66,KING,47.481864623,-122.337040749,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=K9306265,1,58,yes
128,ST LUKE'S PRESCHOOL & KINDERGARTEN,515 S 312TH ST,FEDERAL WAY,WA,98003,(253) 839-0173,20,KING,47.321807661,-122.327541026,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=K9306227,1,19,yes
129,VALLEY CHRISTIAN SCHOOL,1312 2ND ST SE,AUBURN,WA,98002,(253) 833-3541,79,KING,47.306336763,-122.211107891,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01616028,1,72,yes
130,EMERALD HEIGHTS ACADEMY,3850 156TH AVE SE,BELLEVUE,WA,98006,(425) 643-1671,62,KING,47.574784121,-122.132521881,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504372,1,57,yes
131,ST MARK PARISH SCHOOL,18033 15TH AVE NE,SHORELINE,WA,98155,(206) 364-1633,140,KING,47.760943978,-122.313810525,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460635,1,127,yes
132,ST MATTHEW SCHOOL,1230 NE 127TH ST,SEATTLE,WA,98125,(206) 362-2785,185,KING,47.721682269,-122.313473667,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460657,1,175,yes
133,LAKE FOREST PARK MONTESSORI,19935 19TH AVE NE,SHORELINE,WA,98155,(206) 367-4404,25,KING,47.773832441,-122.309656804,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=02066547,1,22,yes
134,HERITAGE CHRISTIAN ACADEMY,19527 104TH AVE NE,BOTHELL,WA,98011,(425) 485-2585,218,KING,47.769665602,-122.202561314,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01912774,1,204,yes
135,THE EVERGREEN SCHOOL,15201 MERIDIAN AVE N,SHORELINE,WA,98133,(206) 364-2650,468,KING,47.738713959,-122.335415159,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462687,1,416,yes
136,CHRIST THE KING SCHOOL,415 N 117TH ST,SEATTLE,WA,98133,(206) 364-6890,189,KING,47.713336401,-122.353481735,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460715,1,173,yes
137,CONCORDIA LUTHERAN SCHOOL,7040 36TH AVE NE,SEATTLE,WA,98115,(206) 525-7407,34,KING,47.680758216,-122.28841242,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462064,1,30,yes
138,ASSUMPTION-ST BRIDGET SCHOOL,6220 32ND AVE NE,SEATTLE,WA,98115,(206) 524-7452,516,KING,47.674930195,-122.292887756,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460748,1,486,yes
139,ST ALPHONSUS SCHOOL,5816 15TH AVE NW,SEATTLE,WA,98107,(206) 782-4363,219,KING,47.671237466,-122.375472095,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460533,1,200,yes
140,VILLA ACADEMY,5001 NE 50TH ST,SEATTLE,WA,98105,(206) 524-8885,431,KING,47.663623152,-122.273299355,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460409,1,399,yes
141,ST BENEDICT SCHOOL,4811 WALLINGFORD AVE N,SEATTLE,WA,98103,(206) 633-3375,179,KING,47.66392239,-122.336728758,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460555,1,163,yes
142,OUR LADY OF FATIMA SCHOOL,3301 W DRAVUS ST,SEATTLE,WA,98199,(206) 283-7031,250,KING,47.648087349,-122.399330626,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460486,1,234,yes
143,ETON SCHOOL,2701 BEL RED RD,BELLEVUE,WA,98008,(425) 881-4230,200,KING,47.633771878,-122.13145502,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01912606,1,179,yes
144,SEATTLE HEBREW ACADEMY,1617 INTERLAKEN DR E,SEATTLE,WA,98112,(206) 323-5750,201,KING,47.634617989,-122.307868119,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462031,1,154,yes
145,SACRED HEART SCHOOL,9450 NE 14TH ST,CLYDE HILL,WA,98004,(425) 451-1773,408,KING,47.624169389,-122.21256547,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460996,1,381,yes
146,ST THOMAS SCHOOL,8300 NE 12TH ST,MEDINA,WA,98039,(425) 454-5880,281,KING,47.621592156,-122.229773498,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461719,1,244,yes
147,EPIPHANY SCHOOL,3611 E DENNY WAY,SEATTLE,WA,98122,(206) 720-7651,232,KING,47.617935872,-122.285909063,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461945,1,201,yes
148,EASTSIDE CHRISTIAN SCHOOL,14615 SE 22ND ST,BELLEVUE,WA,98007,(425) 641-5570,264,KING,47.590428,-122.144632885,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=02066729,1,243,yes
149,NEWPORT CHILDREN'S SCHOOL,12930 SE NEWPORT WAY,BELLEVUE,WA,98006,(425) 641-0824,23,KING,47.568682342,-122.166567522,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106833,1,22,yes
150,HOLY ROSARY SCHOOL,4142 42ND AVE SW,SEATTLE,WA,98116,(206) 937-7255,471,KING,47.565324481,-122.385146518,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460442,1,441,yes
151,HOPE LUTHERAN SCHOOL,4456 42ND AVE SW,SEATTLE,WA,98116,(206) 935-8500,175,KING,47.564326833,-122.385144364,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462053,1,163,yes
152,ST ANTHONY ELEMENTARY SCHOOL,336 SHATTUCK AVE S,RENTON,WA,98057,(425) 255-0059,457,KING,47.478557393,-122.212922039,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01460759,1,434,yes
153,RENTON CHRISTIAN SCHOOL,15717 152ND AVE SE,RENTON,WA,98058,(425) 226-0820,457,KING,47.463535601,-122.138922436,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01913304,1,435,yes
154,SEATTLE CHRISTIAN SCHOOLS,18301 MILITARY RD S,SEATAC,WA,98188,(206) 246-8241,498,KING,47.438350974,-122.273788559,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461898,3,467,yes
155,EVERGREEN LUTHERAN HIGH SCHOOL,7306 WALLER RD E,TACOMA,WA,98443,(253) 946-4488,96,PIERCE,47.368171675,-122.306937178,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463523,2,87,yes
156,ST VINCENT DE PAUL SCHOOL,30527 8TH AVE S,FEDERAL WAY,WA,98003,(253) 839-3532,236,KING,47.327174624,-122.324749763,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01461049,1,223,yes
157,AUBURN ADVENTIST ACADEMY,5000 AUBURN WAY S,AUBURN,WA,98092,(253) 939-5000,244,KING,47.281856608,-122.162190642,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463873,2,228,yes
158,BUENA VISTA SDA SCHOOL,3320 ACADEMY DR SE,AUBURN,WA,98092,(253) 833-0718,227,KING,47.281002794,-122.157058702,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463884,1,217,yes
159,KITSAP ADVENTIST CHRISTIAN SCHOOL,5088 NW TAYLOR RD,BREMERTON,WA,98312,(360) 377-4542,36,KITSAP,47.586386495,-122.717253823,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01464265,1,34,yes
160,BURLEY CHRISTIAN SCHOOL,14687 OLYMPIC DR SE,PORT ORCHARD,WA,98367,(253) 851-8619,119,KITSAP,47.415602384,-122.625801226,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01912242,3,110,yes
161,THE ISLAND SCHOOL,8553 NE DAY RD E,BAINBRIDGE ISLAND,WA,98110,(206) 842-0400,90,KITSAP,47.67892149,-122.535193019,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01912865,1,83,yes
162,PEACE LUTHERAN SCHOOL,1234 NE RIDDELL RD,BREMERTON,WA,98310,(360) 373-2116,132,KITSAP,47.607694143,-122.635089419,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01913199,1,124,yes
163,MADRONA SCHOOL,105 WINSLOW WAY,BAINBRIDGE ISLAND,WA,98110,(206) 855-8041,135,KITSAP,47.623922874,-122.521246839,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0303289,1,121,yes
164,THE COTTAGE MONTESSORI SCHOOL,215 NW SOLNAE PL,BREMERTON,WA,98311,(360) 692-1055,9,KITSAP,47.672121595,-122.681675745,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0790191,1,4,yes
165,MONTESSORI COUNTRY SCHOOL,8225 NE HIGH SCHOOL RD,BAINBRIDGE IS.,WA,98110,(206) 842-4966,66,KITSAP,47.663227845,-122.576332648,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106826,1,58,yes
166,CHILDREN'S GARDEN MONTESSORI SCHOOL OF POULSBO,3805 SAWDUST HILL RD NE,POULSBO,WA,98370,(360) 779-1225,4,KITSAP,47.78044621,-122.600287276,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504353,1,3,yes
167,HYLA MIDDLE SCHOOL,7861 BUCKLIN HILL RD NE,BAINBRIDGE ISLAND,WA,98110,(206) 842-5988,97,KITSAP,47.621374061,-122.543918769,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504384,1,86,yes
168,THE FARM MONTESSORI,17271 CLEAR CREEK RD NW,POULSBO,WA,98370,(360) 779-2620,10,KITSAP,47.71836835,-122.692000849,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504403,1,6,yes
169,DISCOVERY MONTESSORI,1026 SIDNEY AVE STE 160,PORT ORCHARD,WA,98366,(360) 337-5745,28,KITSAP,47.533326957,-122.636934566,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110114,1,24,yes
170,WEST SOUND ACADEMY,16571 CREATIVE DR NE,POULSBO,WA,98370,(360) 598-5954,130,KITSAP,47.71350614,-122.60527286,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A0110186,3,117,yes
171,SILVERWOOD SCHOOL,14000 CENTRAL VALLEY RD NW,POULSBO,WA,98370,(360) 697-7526,66,KITSAP,47.690045931,-122.649668648,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9106850,1,60,yes
172,CENTRAL KITSAP MONTESSORI,10323 CENTRAL VALLEY RD NE,POULSBO,WA,98370,(360) 698-7620,28,KITSAP,47.643130742,-122.660843993,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504336,1,24,yes
173,CARDEN COUNTRY SCHOOL,6974 ISLAND CENTER RD NE,BAINBRIDGE ISLAND,WA,98110,(206) 842-6510,45,KITSAP,47.626737865,-122.55510363,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9703516,1,39,yes
174,POULSBO ADVENTIST SCHOOL,1700 NE LINCOLN RD,POULSBO,WA,98370,(360) 779-6290,12,KITSAP,47.738817175,-122.626357275,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=AA001179,1,11,yes
175,CHRIST THE KING LUTHERAN SCHOOL,8065 CHICO WAY NW,BREMERTON,WA,98312,(360) 692-8799,73,KITSAP,47.636081971,-122.702642696,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=AA900051,1,67,yes
176,GATEWAY CHRISTIAN SCHOOLS,705 NE LINCOLN RD,POULSBO,WA,98370,(360) 779-9189,116,KITSAP,47.740874103,-122.636736198,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01462439,1,107,yes
177,ELLENSBURG CHRISTIAN SCHOOL,407 S ANDERSON ST,ELLENSBURG,WA,98926,(509) 925-2411,89,KITTITAS,46.988606236,-120.541795673,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=A9504370,1,79,yes
178,GOLDENDALE SDA SCHOOL,47 BICKELTON HWY,GOLDENDALE,WA,98620,(509) 773-3120,16,KLICKITAT,45.82515744,-120.795625945,ELEMENTARY AND SECONDARY SCHOOLS,http://nces.ed.gov/GLOBALLOCATOR/sch_info_popup.asp?Type=Private&ID=01463749,1,14,yes
